STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Sikkim,Gangtok,District Summary,2756.4,0.0,35500.0,31697.0,67197.0,6816.66,681.69,6134.97,117.74,6.08,285.1,408.94,6.66,131.62,5712.17,,
Sikkim,Gyalsingh,District Summary,2041.7,0.0,30200.0,58995.0,89195.0,3791.57,379.15,3412.42,31.34,0.0,206.1,237.45,6.96,33.72,3172.58,,
Sikkim,Mangan,District Summary,2738.8,0.0,20000.0,403642.0,423642.0,3716.59,371.65,3344.94,21.33,0.0,83.6,104.92,3.14,22.29,3239.05,,
Sikkim,Namchi,District Summary,2203.5,0.0,28000.0,45130.0,73130.0,3545.96,354.58,3191.38,60.91,16.19,136.45,213.6,6.69,66.03,2972.67,,
Sikkim,Pakyong,District Summary,2756.4,0.0,26100.0,2356.0,28456.0,5022.81,502.28,4520.53,38.1,61.2,120.6,219.9,4.86,42.58,4296.14,,
Sikkim,Soreng,District Summary,2041.7,0.0,9800.0,19188.0,28988.0,1270.97,127.1,1143.87,27.22,0.0,62.7,89.92,7.86,29.28,1051.88,,
Tamilnadu,Ariyalur,District Summary,972.36,0.0,192658.65,739.49,193398.14,39381.72,3541.38,35840.34,1576.66,68.78,16370.93,18016.37,50.34,1685.78,17884.4,,
Tamilnadu,Chengalpattu,District Summary,1229.59,0.0,242414.88,20175.27,262590.15,65940.17,6227.24,59712.92,772.35,429.55,38299.57,39501.52,66.26,1539.48,19566.36,,
Tamilnadu,Chennai,District Summary,1387.58,0.0,44628.48,0.0,44628.48,10007.17,900.26,9106.91,9818.46,1241.15,172.6,11232.23,123.3,10017.98,820.17,,
Tamilnadu,Coimbatore,District Summary,966.28,29882.63,360450.81,6647.13,367097.94,61341.87,5988.38,55353.48,1586.34,1015.58,46836.12,49438.06,89.27,3862.33,21772.72,,
